archetype,size_class,strategy,lambda_intensity,demand_load,demand_cv,oee,distance_mult,resource_mult,renewable_share,zC,zD,zS,stage,company_id,config_id,design_seed,lhs_min_distance,archetype_name,ref_output,demand_fu_y,headcount_ref,ref_energy_kwh_fu,ref_material_kg_fu,ref_cost_eur_fu,ref_distance_km,ref_waste_kg_fu,fuel_share_ref,complexity_index,safety_reference,annual_growth_ref,nominal_capacity_fu_y,n_process_steps
RO-A2,medium,INTEGRATED,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A2-C00,RO-A2-C00-INTEGRATED-L050,0,,Electrical/electromechanical and cable-assembly manufacturer,170000.0,170000.0,140.0,0.18,0.11,6.5,1100.0,0.014,0.02,0.55,0.28,0.02,217600.0,6.0
RO-A3,medium,BASE,0.0,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A3-C00,RO-A3-C00-BASE-L000,0,,Fabricated metal products and machining SME,60000.0,60000.0,140.0,11.0,17.0,135.0,360.0,0.55,0.1,0.68,0.48,0.018,76800.0,6.0
RO-A3,medium,ENERGY,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A3-C00,RO-A3-C00-ENERGY-L050,0,,Fabricated metal products and machining SME,60000.0,60000.0,140.0,11.0,17.0,135.0,360.0,0.55,0.1,0.68,0.48,0.018,76800.0,6.0
RO-A3,medium,MAINT,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A3-C00,RO-A3-C00-MAINT-L050,0,,Fabricated metal products and machining SME,60000.0,60000.0,140.0,11.0,17.0,135.0,360.0,0.55,0.1,0.68,0.48,0.018,76800.0,6.0
RO-A3,medium,CIRCULAR,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A3-C00,RO-A3-C00-CIRCULAR-L050,0,,Fabricated metal products and machining SME,60000.0,60000.0,140.0,11.0,17.0,135.0,360.0,0.55,0.1,0.68,0.48,0.018,76800.0,6.0
RO-A3,medium,DIGITAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A3-C00,RO-A3-C00-DIGITAL-L050,0,,Fabricated metal products and machining SME,60000.0,60000.0,140.0,11.0,17.0,135.0,360.0,0.55,0.1,0.68,0.48,0.018,76800.0,6.0
RO-A3,medium,SOCIAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A3-C00,RO-A3-C00-SOCIAL-L050,0,,Fabricated metal products and machining SME,60000.0,60000.0,140.0,11.0,17.0,135.0,360.0,0.55,0.1,0.68,0.48,0.018,76800.0,6.0
RO-A3,medium,INTEGRATED,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A3-C00,RO-A3-C00-INTEGRATED-L050,0,,Fabricated metal products and machining SME,60000.0,60000.0,140.0,11.0,17.0,135.0,360.0,0.55,0.1,0.68,0.48,0.018,76800.0,6.0
RO-A4,medium,BASE,0.0,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A4-C00,RO-A4-C00-BASE-L000,0,,Industrial machinery and equipment manufacturer,15000.0,15000.0,140.0,24.0,52.0,620.0,620.0,1.2,0.08,0.82,0.45,0.018,19200.0,6.0
RO-A4,medium,ENERGY,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A4-C00,RO-A4-C00-ENERGY-L050,0,,Industrial machinery and equipment manufacturer,15000.0,15000.0,140.0,24.0,52.0,620.0,620.0,1.2,0.08,0.82,0.45,0.018,19200.0,6.0
RO-A4,medium,MAINT,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A4-C00,RO-A4-C00-MAINT-L050,0,,Industrial machinery and equipment manufacturer,15000.0,15000.0,140.0,24.0,52.0,620.0,620.0,1.2,0.08,0.82,0.45,0.018,19200.0,6.0
RO-A4,medium,CIRCULAR,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A4-C00,RO-A4-C00-CIRCULAR-L050,0,,Industrial machinery and equipment manufacturer,15000.0,15000.0,140.0,24.0,52.0,620.0,620.0,1.2,0.08,0.82,0.45,0.018,19200.0,6.0
RO-A4,medium,DIGITAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A4-C00,RO-A4-C00-DIGITAL-L050,0,,Industrial machinery and equipment manufacturer,15000.0,15000.0,140.0,24.0,52.0,620.0,620.0,1.2,0.08,0.82,0.45,0.018,19200.0,6.0
RO-A4,medium,SOCIAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A4-C00,RO-A4-C00-SOCIAL-L050,0,,Industrial machinery and equipment manufacturer,15000.0,15000.0,140.0,24.0,52.0,620.0,620.0,1.2,0.08,0.82,0.45,0.018,19200.0,6.0
RO-A4,medium,INTEGRATED,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A4-C00,RO-A4-C00-INTEGRATED-L050,0,,Industrial machinery and equipment manufacturer,15000.0,15000.0,140.0,24.0,52.0,620.0,620.0,1.2,0.08,0.82,0.45,0.018,19200.0,6.0
RO-A5,medium,BASE,0.0,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A5-C00,RO-A5-C00-BASE-L000,0,,Food-processing company,520000.0,520000.0,140.0,0.9,1.15,2.7,250.0,0.035,0.16,0.58,0.35,0.025,665600.0,6.0
RO-A5,medium,ENERGY,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A5-C00,RO-A5-C00-ENERGY-L050,0,,Food-processing company,520000.0,520000.0,140.0,0.9,1.15,2.7,250.0,0.035,0.16,0.58,0.35,0.025,665600.0,6.0
RO-A5,medium,MAINT,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A5-C00,RO-A5-C00-MAINT-L050,0,,Food-processing company,520000.0,520000.0,140.0,0.9,1.15,2.7,250.0,0.035,0.16,0.58,0.35,0.025,665600.0,6.0
RO-A5,medium,CIRCULAR,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A5-C00,RO-A5-C00-CIRCULAR-L050,0,,Food-processing company,520000.0,520000.0,140.0,0.9,1.15,2.7,250.0,0.035,0.16,0.58,0.35,0.025,665600.0,6.0
RO-A5,medium,DIGITAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A5-C00,RO-A5-C00-DIGITAL-L050,0,,Food-processing company,520000.0,520000.0,140.0,0.9,1.15,2.7,250.0,0.035,0.16,0.58,0.35,0.025,665600.0,6.0
RO-A5,medium,SOCIAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A5-C00,RO-A5-C00-SOCIAL-L050,0,,Food-processing company,520000.0,520000.0,140.0,0.9,1.15,2.7,250.0,0.035,0.16,0.58,0.35,0.025,665600.0,6.0
RO-A5,medium,INTEGRATED,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A5-C00,RO-A5-C00-INTEGRATED-L050,0,,Food-processing company,520000.0,520000.0,140.0,0.9,1.15,2.7,250.0,0.035,0.16,0.58,0.35,0.025,665600.0,6.0
RO-A6,medium,BASE,0.0,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A6-C00,RO-A6-C00-BASE-L000,0,,Wood-products and furniture manufacturer,65000.0,65000.0,140.0,8.5,21.0,118.0,500.0,2.5,0.1,0.63,0.5,0.017,83200.0,6.0
RO-A6,medium,ENERGY,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A6-C00,RO-A6-C00-ENERGY-L050,0,,Wood-products and furniture manufacturer,65000.0,65000.0,140.0,8.5,21.0,118.0,500.0,2.5,0.1,0.63,0.5,0.017,83200.0,6.0
RO-A6,medium,MAINT,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A6-C00,RO-A6-C00-MAINT-L050,0,,Wood-products and furniture manufacturer,65000.0,65000.0,140.0,8.5,21.0,118.0,500.0,2.5,0.1,0.63,0.5,0.017,83200.0,6.0
RO-A6,medium,CIRCULAR,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A6-C00,RO-A6-C00-CIRCULAR-L050,0,,Wood-products and furniture manufacturer,65000.0,65000.0,140.0,8.5,21.0,118.0,500.0,2.5,0.1,0.63,0.5,0.017,83200.0,6.0
RO-A6,medium,DIGITAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A6-C00,RO-A6-C00-DIGITAL-L050,0,,Wood-products and furniture manufacturer,65000.0,65000.0,140.0,8.5,21.0,118.0,500.0,2.5,0.1,0.63,0.5,0.017,83200.0,6.0
RO-A6,medium,SOCIAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A6-C00,RO-A6-C00-SOCIAL-L050,0,,Wood-products and furniture manufacturer,65000.0,65000.0,140.0,8.5,21.0,118.0,500.0,2.5,0.1,0.63,0.5,0.017,83200.0,6.0
RO-A6,medium,INTEGRATED,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A6-C00,RO-A6-C00-INTEGRATED-L050,0,,Wood-products and furniture manufacturer,65000.0,65000.0,140.0,8.5,21.0,118.0,500.0,2.5,0.1,0.63,0.5,0.017,83200.0,6.0
RO-A7,medium,BASE,0.0,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A7-C00,RO-A7-C00-BASE-L000,0,,Rubber and plastics processor,160000.0,160000.0,140.0,4.8,2.7,19.0,410.0,0.12,0.06,0.6,0.4,0.021,204800.0,6.0
RO-A7,medium,ENERGY,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A7-C00,RO-A7-C00-ENERGY-L050,0,,Rubber and plastics processor,160000.0,160000.0,140.0,4.8,2.7,19.0,410.0,0.12,0.06,0.6,0.4,0.021,204800.0,6.0
RO-A7,medium,MAINT,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A7-C00,RO-A7-C00-MAINT-L050,0,,Rubber and plastics processor,160000.0,160000.0,140.0,4.8,2.7,19.0,410.0,0.12,0.06,0.6,0.4,0.021,204800.0,6.0
RO-A7,medium,CIRCULAR,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A7-C00,RO-A7-C00-CIRCULAR-L050,0,,Rubber and plastics processor,160000.0,160000.0,140.0,4.8,2.7,19.0,410.0,0.12,0.06,0.6,0.4,0.021,204800.0,6.0
RO-A7,medium,DIGITAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A7-C00,RO-A7-C00-DIGITAL-L050,0,,Rubber and plastics processor,160000.0,160000.0,140.0,4.8,2.7,19.0,410.0,0.12,0.06,0.6,0.4,0.021,204800.0,6.0
RO-A7,medium,SOCIAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A7-C00,RO-A7-C00-SOCIAL-L050,0,,Rubber and plastics processor,160000.0,160000.0,140.0,4.8,2.7,19.0,410.0,0.12,0.06,0.6,0.4,0.021,204800.0,6.0
RO-A7,medium,INTEGRATED,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A7-C00,RO-A7-C00-INTEGRATED-L050,0,,Rubber and plastics processor,160000.0,160000.0,140.0,4.8,2.7,19.0,410.0,0.12,0.06,0.6,0.4,0.021,204800.0,6.0
RO-A8,medium,BASE,0.0,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A8-C00,RO-A8-C00-BASE-L000,0,,Non-metallic mineral/construction-material producer,300000.0,300000.0,140.0,34.0,1050.0,23.0,180.0,18.0,0.28,0.66,0.58,0.015,384000.0,6.0
RO-A8,medium,ENERGY,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A8-C00,RO-A8-C00-ENERGY-L050,0,,Non-metallic mineral/construction-material producer,300000.0,300000.0,140.0,34.0,1050.0,23.0,180.0,18.0,0.28,0.66,0.58,0.015,384000.0,6.0
RO-A8,medium,MAINT,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A8-C00,RO-A8-C00-MAINT-L050,0,,Non-metallic mineral/construction-material producer,300000.0,300000.0,140.0,34.0,1050.0,23.0,180.0,18.0,0.28,0.66,0.58,0.015,384000.0,6.0
RO-A8,medium,CIRCULAR,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A8-C00,RO-A8-C00-CIRCULAR-L050,0,,Non-metallic mineral/construction-material producer,300000.0,300000.0,140.0,34.0,1050.0,23.0,180.0,18.0,0.28,0.66,0.58,0.015,384000.0,6.0
RO-A8,medium,DIGITAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A8-C00,RO-A8-C00-DIGITAL-L050,0,,Non-metallic mineral/construction-material producer,300000.0,300000.0,140.0,34.0,1050.0,23.0,180.0,18.0,0.28,0.66,0.58,0.015,384000.0,6.0
RO-A8,medium,SOCIAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A8-C00,RO-A8-C00-SOCIAL-L050,0,,Non-metallic mineral/construction-material producer,300000.0,300000.0,140.0,34.0,1050.0,23.0,180.0,18.0,0.28,0.66,0.58,0.015,384000.0,6.0
RO-A8,medium,INTEGRATED,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A8-C00,RO-A8-C00-INTEGRATED-L050,0,,Non-metallic mineral/construction-material producer,300000.0,300000.0,140.0,34.0,1050.0,23.0,180.0,18.0,0.28,0.66,0.58,0.015,384000.0,6.0
RO-A1,large,ENERGY,0.7037595515333583,0.8259992024005277,0.279555625104123,0.8884282664931179,0.7856490950900363,1.2091680170837293,0.021654124504926382,0.49533295370632546,0.3804128208972011,0.48926506399700576,LHS_TRAIN,RO-A1-C01,RO-A1-C01-ENERGY-L070,8132026,0.9894591952490087,Automotive component supplier,396000.00000000006,327095.684150609,697.8387661982083,5.5,8.0,72.54,420.0,0.18,0.12,0.72,0.42,0.022,555434.8405554998,6.0
RO-A1,small,DIGITAL,0.41521900551752783,0.966681894622445,0.05460623190412027,0.768981918765862,1.331714829575576,0.7662706716369311,0.1769826481581252,0.8093252298550192,0.25361789900117965,0.568130704691329,LHS_TRAIN,RO-A1-C02,RO-A1-C02-DIGITAL-L042,8132026,0.9894591952490087,Automotive component supplier,81000.0,78301.23346441805,31.049164725163976,5.5,8.0,84.24000000000001,420.0,0.18,0.12,0.72,0.42,0.022,106464.57954264792,6.0
RO-A1,medium,ENERGY,0.36490643337315765,1.0633268135688387,0.22063001548236788,0.5785876369459212,1.463163762872754,0.8708792741206632,0.569018066468221,0.8584561680548272,0.556371993905189,0.7096664942972695,LHS_TRAIN,RO-A1-C03,RO-A1-C03-ENERGY-L036,8132026,0.9894591952490087,Automotive component supplier,180000.0,191398.82644239097,140.0,5.5,8.0,78.0,420.0,0.18,0.12,0.72,0.42,0.022,208159.62129074006,6.0
RO-A1,small,MAINT,0.4957693655625098,0.8926401713887827,0.19005629231220517,0.5949328018628772,0.9032897245629186,1.1663713253645402,0.403045508691472,0.702440458886523,0.408298639257216,0.7469281816950513,LHS_TRAIN,RO-A1-C04,RO-A1-C04-MAINT-L050,8132026,0.9894591952490087,Automotive component supplier,81000.0,72303.8538824914,31.049164725163976,5.5,8.0,84.24000000000001,420.0,0.18,0.12,0.72,0.42,0.022,94853.51890952751,6.0
RO-A1,small,INTEGRATED,0.9939406919806413,1.0850551613201627,0.16122249538932493,0.8069524563024406,1.22002039060289,1.0725392518962504,0.6585703071282629,0.24115972017686996,0.517097576200393,0.9076119329661823,LHS_TRAIN,RO-A1-C05,RO-A1-C05-INTEGRATED-L099,8132026,0.9894591952490087,Automotive component supplier,81000.0,87889.46806693317,31.049164725163976,5.5,8.0,84.24000000000001,420.0,0.18,0.12,0.72,0.42,0.022,108798.88938424476,6.0
RO-A1,medium,CIRCULAR,0.6987479258522984,1.1454402547506626,0.23373252196373828,0.7218461248980488,1.0559066056596191,0.9049001929491904,0.7218947160747939,0.6048731246900763,0.6305401035623182,0.5149127313143684,LHS_TRAIN,RO-A1-C06,RO-A1-C06-CIRCULAR-L070,8132026,0.9894591952490087,Automotive component supplier,180000.0,206179.24585511925,140.0,5.5,8.0,78.0,420.0,0.18,0.12,0.72,0.42,0.022,229948.4333323492,6.0
RO-A1,large,BASE,0.0,1.1826418433783177,0.10859412327766932,0.8523255386801699,1.1311296294722595,1.0251100104398008,0.34371987349387545,0.26146002408081614,0.8038523679653541,0.8798006138311578,LHS_TRAIN,RO-A1-C07,RO-A1-C07-BASE-L000,8132026,0.9894591952490087,Automotive component supplier,396000.00000000006,468326.16997781384,697.8387661982083,5.5,8.0,72.54,420.0,0.18,0.12,0.72,0.42,0.022,545161.9400204204,6.0
RO-A1,medium,MAINT,0.840861742010979,1.0180137796285673,0.1370361912127417,0.6743593308689748,0.98196793235627,1.1147171573087606,0.07754237975959397,0.1436304221409736,0.946091694385296,0.4279314419836552,LHS_TRAIN,RO-A1-C08,RO-A1-C08-MAINT-L084,8132026,0.9894591952490087,Automotive component supplier,180000.0,183242.48033314213,140.0,5.5,8.0,78.0,420.0,0.18,0.12,0.72,0.42,0.022,223013.67210142867,6.0
RO-A1,small,SOCIAL,0.9077205170495823,0.8633361421223711,0.2596327470752526,0.7536910950843061,0.8513973364281684,0.9822146277425694,0.49733390222772544,0.4192407615626662,0.8452394753512442,0.6415056306161533,LHS_TRAIN,RO-A1-C09,RO-A1-C09-SOCIAL-L091,8132026,0.9894591952490087,Automotive component supplier,81000.0,69930.22751191206,31.049164725163976,5.5,8.0,84.24000000000001,420.0,0.18,0.12,0.72,0.42,0.022,105506.66814133835,6.0
RO-A1,large,BASE,0.0,0.9377496295896217,0.07517338098289922,0.6548113067506883,1.3797321019655149,0.8382318901405111,0.2580088855206091,0.5457733715854383,0.7184576809210681,0.8292608872407002,LHS_TRAIN,RO-A1-C10,RO-A1-C10-BASE-L000,8132026,0.9894591952490087,Automotive component supplier,396000.00000000006,371348.85331749025,697.8387661982083,5.5,8.0,72.54,420.0,0.18,0.12,0.72,0.42,0.022,484178.3087003059,6.0
RO-A2,large,ENERGY,0.45505982989179544,1.0279019903159943,0.2621119295020332,0.6055163832775795,0.7850629356636929,1.1654754669991714,0.3813188628756656,0.45211210172407157,0.3408354199815157,0.6026811701948668,LHS_TRAIN,RO-A2-C01,RO-A2-C01-ENERGY-L046,8132027,1.00353445586826,Electrical/electromechanical and cable-assembly manufacturer,374000.00000000006,384435.3443781819,697.8387661982083,0.18,0.11,6.045,1100.0,0.014,0.02,0.55,0.28,0.02,441454.67778010026,6.0
RO-A2,large,SOCIAL,0.5661923902039214,1.191613201974027,0.10072346900369619,0.7710423743782637,1.3549005272814494,1.2479335894893977,0.23408339964364971,0.41678710546746944,0.9003114332682022,0.6313954651475961,LHS_TRAIN,RO-A2-C02,RO-A2-C02-SOCIAL-L057,8132027,1.00353445586826,Electrical/electromechanical and cable-assembly manufacturer,374000.00000000006,445663.3375382862,697.8387661982083,0.18,0.11,6.045,1100.0,0.014,0.02,0.55,0.28,0.02,492169.4807345156,6.0
RO-A2,small,MAINT,0.9023635013376274,0.9910341747829541,0.177715598920261,0.6519002809129418,0.843858464470814,0.9796691785412539,0.7120050006911436,0.7435776924708897,0.852143975462761,0.7405195484191467,LHS_TRAIN,RO-A2-C03,RO-A2-C03-MAINT-L090,8132027,1.00353445586826,Electrical/electromechanical and cable-assembly manufacturer,76500.0,75814.11437089599,31.049164725163976,0.18,0.11,7.0200000000000005,1100.0,0.014,0.02,0.55,0.28,0.02,93347.09939654655,6.0
RO-A2,small,MAINT,0.273733217205388,0.9519934158484267,0.14170398528080827,0.5849296841192725,0.9599238252799183,0.8821636852981891,0.6179393854576876,0.5348083148046734,0.5002608785404545,0.939318853339388,LHS_TRAIN,RO-A2-C04,RO-A2-C04-MAINT-L027,8132027,1.00353445586826,Electrical/electromechanical and cable-assembly manufacturer,76500.0,72827.49631240463,31.049164725163976,0.18,0.11,7.0200000000000005,1100.0,0.014,0.02,0.55,0.28,0.02,88902.90444812938,6.0
RO-A2,large,DIGITAL,0.8424348371585824,1.1567749889538996,0.2340699272954994,0.8877722212460805,1.4974072706306203,1.092980968982919,0.21740502833462144,0.17252978720709944,0.6355194113183633,0.8714164374050885,LHS_TRAIN,RO-A2-C05,RO-A2-C05-DIGITAL-L084,8132027,1.00353445586826,Electrical/electromechanical and cable-assembly manufacturer,374000.00000000006,432633.8458687585,697.8387661982083,0.18,0.11,6.045,1100.0,0.014,0.02,0.55,0.28,0.02,524402.9995184357,6.0
RO-A2,medium,ENERGY,0.9765805854604441,0.8665251900722698,0.06642335175736201,0.804974680405494,1.1112572035925337,1.1460913365485172,0.4696686339395358,0.6520049897087652,0.6824693466461622,0.5221743108747725,LHS_TRAIN,RO-A2-C06,RO-A2-C06-ENERGY-L098,8132027,1.00353445586826,Electrical/electromechanical and cable-assembly manufacturer,170000.0,147309.28231228585,140.0,0.18,0.11,6.5,1100.0,0.014,0.02,0.55,0.28,0.02,228091.3350589027,6.0
