variable_name,value,unit,timestamp,scenario_code
ot_it_integration_score,3.5,score,2025-11-01T00:00:00,ALT1
decisions_supported,14.0,count,2025-11-01T00:00:00,ALT1
decisions_total,20.0,count,2025-11-01T00:00:00,ALT1
oee_availability,0.86,fraction,2025-11-01T00:00:00,ALT1
oee_performance,0.9,fraction,2025-11-01T00:00:00,ALT1
oee_quality,0.97,fraction,2025-11-01T00:00:00,ALT1
investment_cost_eur,1200000.0,EUR,2025-11-01T00:00:00,ALT1
incremental_benefits_eur,240000.0,EUR,2025-11-01T00:00:00,ALT1
output_qty_fu,6000.0,FU,2025-11-01T00:00:00,ALT2
electricity_kwh,1000000.0,kWh,2025-11-01T00:00:00,ALT2
renewable_energy_kwh,250000.0,kWh,2025-11-01T00:00:00,ALT2
diesel_kwh,500000.0,kWh,2025-11-01T00:00:00,ALT2
water_withdrawn_m3,12000.0,m3,2025-11-01T00:00:00,ALT2
waste_generated_t,800.0,t,2025-11-01T00:00:00,ALT2
waste_recovered_t,520.0,t,2025-11-01T00:00:00,ALT2
material_total_t,9000.0,t,2025-11-01T00:00:00,ALT2
material_circular_t,1800.0,t,2025-11-01T00:00:00,ALT2
operating_cost_eur,5000000.0,EUR,2025-11-01T00:00:00,ALT2
fuel_cost_eur,600000.0,EUR,2025-11-01T00:00:00,ALT2
electricity_cost_eur,400000.0,EUR,2025-11-01T00:00:00,ALT2
maintenance_cost_eur,297500.0,EUR,2025-11-01T00:00:00,ALT2
operating_hours_h,50000.0,h,2025-11-01T00:00:00,ALT2
logistics_cost_eur,900000.0,EUR,2025-11-01T00:00:00,ALT2
transport_work_tkm,45000000.0,tkm,2025-11-01T00:00:00,ALT2
lti_count,3.0,count,2025-11-01T00:00:00,ALT2
hours_worked_h,2500000.0,h,2025-11-01T00:00:00,ALT2
training_hours_h,12000.0,h,2025-11-01T00:00:00,ALT2
employees_avg,1200.0,count,2025-11-01T00:00:00,ALT2
employees_total,1200.0,count,2025-11-01T00:00:00,ALT2
suggestions_count,900.0,count,2025-11-01T00:00:00,ALT2
community_incidents_count,2.0,count,2025-11-01T00:00:00,ALT2
substantiated_complaints_count,4.0,count,2025-11-01T00:00:00,ALT2
employees_health_checks,1050.0,count,2025-11-01T00:00:00,ALT2
sustainable_sales_share,0.22,fraction,2025-11-01T00:00:00,ALT2
customer_survey_score,0.68,fraction,2025-11-01T00:00:00,ALT2
contract_renewal_rate,0.75,fraction,2025-11-01T00:00:00,ALT2
digital_processes_count,19.8,count,2025-11-01T00:00:00,ALT2
core_processes_total,24.0,count,2025-11-01T00:00:00,ALT2
assets_connected,368.0,count,2025-11-01T00:00:00,ALT2
assets_total,500.0,count,2025-11-01T00:00:00,ALT2
mrv_points_active_valid,168.0,count,2025-11-01T00:00:00,ALT2
mrv_points_required,200.0,count,2025-11-01T00:00:00,ALT2
dpp_volume,4800.0,FU,2025-11-01T00:00:00,ALT2
shipped_volume_total,6000.0,FU,2025-11-01T00:00:00,ALT2
data_completeness,0.9568000000000001,fraction,2025-11-01T00:00:00,ALT2
data_consistency,0.924,fraction,2025-11-01T00:00:00,ALT2
data_accuracy,0.901,fraction,2025-11-01T00:00:00,ALT2
ot_it_integration_score,4.2,score,2025-11-01T00:00:00,ALT2
decisions_supported,16.099999999999998,count,2025-11-01T00:00:00,ALT2
decisions_total,20.0,count,2025-11-01T00:00:00,ALT2
oee_availability,0.86,fraction,2025-11-01T00:00:00,ALT2
oee_performance,0.9,fraction,2025-11-01T00:00:00,ALT2
oee_quality,0.97,fraction,2025-11-01T00:00:00,ALT2
investment_cost_eur,1200000.0,EUR,2025-11-01T00:00:00,ALT2
incremental_benefits_eur,240000.0,EUR,2025-11-01T00:00:00,ALT2
