variable_name,value,unit,timestamp,scenario_code
oee_quality,0.97,fraction,2025-10-01T00:00:00,BASE
investment_cost_eur,1152000.0,EUR,2025-10-01T00:00:00,BASE
incremental_benefits_eur,230400.0,EUR,2025-10-01T00:00:00,BASE
output_qty_fu,5760.0,FU,2025-10-01T00:00:00,ALT1
electricity_kwh,864000.0,kWh,2025-10-01T00:00:00,ALT1
renewable_energy_kwh,384000.0,kWh,2025-10-01T00:00:00,ALT1
diesel_kwh,384000.0,kWh,2025-10-01T00:00:00,ALT1
water_withdrawn_m3,11520.0,m3,2025-10-01T00:00:00,ALT1
waste_generated_t,768.0,t,2025-10-01T00:00:00,ALT1
waste_recovered_t,499.2,t,2025-10-01T00:00:00,ALT1
material_total_t,8640.0,t,2025-10-01T00:00:00,ALT1
material_circular_t,1728.0,t,2025-10-01T00:00:00,ALT1
operating_cost_eur,4608000.0,EUR,2025-10-01T00:00:00,ALT1
fuel_cost_eur,460800.0,EUR,2025-10-01T00:00:00,ALT1
electricity_cost_eur,345600.0,EUR,2025-10-01T00:00:00,ALT1
maintenance_cost_eur,336000.0,EUR,2025-10-01T00:00:00,ALT1
operating_hours_h,48000.0,h,2025-10-01T00:00:00,ALT1
logistics_cost_eur,864000.0,EUR,2025-10-01T00:00:00,ALT1
transport_work_tkm,43200000.0,tkm,2025-10-01T00:00:00,ALT1
lti_count,2.88,count,2025-10-01T00:00:00,ALT1
hours_worked_h,2400000.0,h,2025-10-01T00:00:00,ALT1
training_hours_h,11520.0,h,2025-10-01T00:00:00,ALT1
employees_avg,1152.0,count,2025-10-01T00:00:00,ALT1
employees_total,1152.0,count,2025-10-01T00:00:00,ALT1
suggestions_count,864.0,count,2025-10-01T00:00:00,ALT1
community_incidents_count,1.92,count,2025-10-01T00:00:00,ALT1
substantiated_complaints_count,3.84,count,2025-10-01T00:00:00,ALT1
employees_health_checks,1008.0,count,2025-10-01T00:00:00,ALT1
sustainable_sales_share,0.22,fraction,2025-10-01T00:00:00,ALT1
customer_survey_score,0.68,fraction,2025-10-01T00:00:00,ALT1
contract_renewal_rate,0.75,fraction,2025-10-01T00:00:00,ALT1
digital_processes_count,17.28,count,2025-10-01T00:00:00,ALT1
core_processes_total,23.04,count,2025-10-01T00:00:00,ALT1
assets_connected,307.2,count,2025-10-01T00:00:00,ALT1
assets_total,480.0,count,2025-10-01T00:00:00,ALT1
mrv_points_active_valid,134.4,count,2025-10-01T00:00:00,ALT1
mrv_points_required,192.0,count,2025-10-01T00:00:00,ALT1
dpp_volume,4608.0,FU,2025-10-01T00:00:00,ALT1
shipped_volume_total,5760.0,FU,2025-10-01T00:00:00,ALT1
data_completeness,0.92,fraction,2025-10-01T00:00:00,ALT1
data_consistency,0.88,fraction,2025-10-01T00:00:00,ALT1
data_accuracy,0.85,fraction,2025-10-01T00:00:00,ALT1
ot_it_integration_score,3.5,score,2025-10-01T00:00:00,ALT1
decisions_supported,13.44,count,2025-10-01T00:00:00,ALT1
decisions_total,19.2,count,2025-10-01T00:00:00,ALT1
oee_availability,0.86,fraction,2025-10-01T00:00:00,ALT1
oee_performance,0.9,fraction,2025-10-01T00:00:00,ALT1
oee_quality,0.97,fraction,2025-10-01T00:00:00,ALT1
investment_cost_eur,1152000.0,EUR,2025-10-01T00:00:00,ALT1
incremental_benefits_eur,230400.0,EUR,2025-10-01T00:00:00,ALT1
output_qty_fu,5760.0,FU,2025-10-01T00:00:00,ALT2
electricity_kwh,960000.0,kWh,2025-10-01T00:00:00,ALT2
renewable_energy_kwh,240000.0,kWh,2025-10-01T00:00:00,ALT2
diesel_kwh,480000.0,kWh,2025-10-01T00:00:00,ALT2
water_withdrawn_m3,11520.0,m3,2025-10-01T00:00:00,ALT2
waste_generated_t,768.0,t,2025-10-01T00:00:00,ALT2
waste_recovered_t,499.2,t,2025-10-01T00:00:00,ALT2
material_total_t,8640.0,t,2025-10-01T00:00:00,ALT2
material_circular_t,1728.0,t,2025-10-01T00:00:00,ALT2
operating_cost_eur,4800000.0,EUR,2025-10-01T00:00:00,ALT2
fuel_cost_eur,576000.0,EUR,2025-10-01T00:00:00,ALT2
electricity_cost_eur,384000.0,EUR,2025-10-01T00:00:00,ALT2
maintenance_cost_eur,285600.0,EUR,2025-10-01T00:00:00,ALT2
operating_hours_h,48000.0,h,2025-10-01T00:00:00,ALT2
logistics_cost_eur,864000.0,EUR,2025-10-01T00:00:00,ALT2
transport_work_tkm,43200000.0,tkm,2025-10-01T00:00:00,ALT2
lti_count,2.88,count,2025-10-01T00:00:00,ALT2
hours_worked_h,2400000.0,h,2025-10-01T00:00:00,ALT2
training_hours_h,11520.0,h,2025-10-01T00:00:00,ALT2
employees_avg,1152.0,count,2025-10-01T00:00:00,ALT2
employees_total,1152.0,count,2025-10-01T00:00:00,ALT2
suggestions_count,864.0,count,2025-10-01T00:00:00,ALT2
community_incidents_count,1.92,count,2025-10-01T00:00:00,ALT2
substantiated_complaints_count,3.84,count,2025-10-01T00:00:00,ALT2
employees_health_checks,1008.0,count,2025-10-01T00:00:00,ALT2
sustainable_sales_share,0.22,fraction,2025-10-01T00:00:00,ALT2
customer_survey_score,0.68,fraction,2025-10-01T00:00:00,ALT2
contract_renewal_rate,0.75,fraction,2025-10-01T00:00:00,ALT2
digital_processes_count,19.008000000000003,count,2025-10-01T00:00:00,ALT2
core_processes_total,23.04,count,2025-10-01T00:00:00,ALT2
assets_connected,353.28,count,2025-10-01T00:00:00,ALT2
assets_total,480.0,count,2025-10-01T00:00:00,ALT2
mrv_points_active_valid,161.28,count,2025-10-01T00:00:00,ALT2
mrv_points_required,192.0,count,2025-10-01T00:00:00,ALT2
dpp_volume,4608.0,FU,2025-10-01T00:00:00,ALT2
shipped_volume_total,5760.0,FU,2025-10-01T00:00:00,ALT2
data_completeness,0.9568000000000001,fraction,2025-10-01T00:00:00,ALT2
data_consistency,0.924,fraction,2025-10-01T00:00:00,ALT2
data_accuracy,0.901,fraction,2025-10-01T00:00:00,ALT2
ot_it_integration_score,4.2,score,2025-10-01T00:00:00,ALT2
decisions_supported,15.455999999999998,count,2025-10-01T00:00:00,ALT2
decisions_total,19.2,count,2025-10-01T00:00:00,ALT2
oee_availability,0.86,fraction,2025-10-01T00:00:00,ALT2
oee_performance,0.9,fraction,2025-10-01T00:00:00,ALT2
oee_quality,0.97,fraction,2025-10-01T00:00:00,ALT2
investment_cost_eur,1152000.0,EUR,2025-10-01T00:00:00,ALT2
incremental_benefits_eur,230400.0,EUR,2025-10-01T00:00:00,ALT2
