archetype,archetype_name,strategy,config_id,Environmental,Economic,Social,Technological,SUSTAIN_INDEX_ARITH,SUSTAIN_INDEX_GEOM
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,DIGITAL,RO-A2-C00-DIGITAL-L050,50.03042419440792,50.218695640580336,63.917305612740755,61.82662842482993,56.49826346813973,56.13366638165454
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,SOCIAL,RO-A2-C00-SOCIAL-L050,49.37396312649435,48.468958934234195,70.87845865582159,51.6405834866855,55.09049105080891,54.40223865939885
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,INTEGRATED,RO-A2-C00-INTEGRATED-L050,63.27094686067799,53.73066582733771,69.6889470506481,59.95708705114331,61.66191169745178,61.39142948673458
RO-A3,Fabricated metal products and machining SME,BASE,RO-A3-C00-BASE-L000,49.326361886419754,48.033836963141695,63.841316233119784,51.312518415991626,53.128508374668215,52.78224786510142
RO-A3,Fabricated metal products and machining SME,ENERGY,RO-A3-C00-ENERGY-L050,60.3332913563963,49.68990395143362,63.841316233119784,51.312518415991626,56.294257489235335,55.980604585608624
RO-A3,Fabricated metal products and machining SME,MAINT,RO-A3-C00-MAINT-L050,50.939703338559326,51.75165955347886,64.52667724271245,52.217421183305916,54.85886532951414,54.59260946741474
RO-A3,Fabricated metal products and machining SME,CIRCULAR,RO-A3-C00-CIRCULAR-L050,54.10859370628346,47.610595769786045,63.84271511435178,51.330281987191626,54.223046644403226,53.903096633014016
RO-A3,Fabricated metal products and machining SME,DIGITAL,RO-A3-C00-DIGITAL-L050,49.99349791107458,50.22337101198106,63.91561423311978,61.590938353197274,56.43085537734317,56.070676093477644
RO-A3,Fabricated metal products and machining SME,SOCIAL,RO-A3-C00-SOCIAL-L050,49.338513894494355,48.45473596455011,70.87534900706912,51.32140020159163,54.9974997669263,54.30364739509536
RO-A3,Fabricated metal products and machining SME,INTEGRATED,RO-A3-C00-INTEGRATED-L050,62.88798377168291,53.74423447658797,69.68763423170029,59.719994461981585,61.50996173548819,61.24120933001318
RO-A4,Industrial machinery and equipment manufacturer,BASE,RO-A4-C00-BASE-L000,49.28659511975309,47.925170276739806,63.821031784991426,50.967555481705915,53.00008816579756,52.6486847995407
RO-A4,Industrial machinery and equipment manufacturer,ENERGY,RO-A4-C00-ENERGY-L050,60.40488010843571,49.581315856816225,63.821031784991426,50.967555481705915,56.19369580798732,55.867845718169995
RO-A4,Industrial machinery and equipment manufacturer,MAINT,RO-A4-C00-MAINT-L050,50.907492257559326,51.66081215067591,64.50718780248835,51.897144063677345,54.743159068600235,54.47203815252279
RO-A4,Industrial machinery and equipment manufacturer,CIRCULAR,RO-A4-C00-CIRCULAR-L050,54.06432534163012,47.50358801308226,63.82262393270943,50.98777323050591,54.09457762948193,53.767454422814644
RO-A4,Industrial machinery and equipment manufacturer,DIGITAL,RO-A4-C00-DIGITAL-L050,49.95373114440791,50.137193383710596,63.89695378499143,61.33711827605441,56.33124914729109,55.97355211663207
RO-A4,Industrial machinery and equipment manufacturer,SOCIAL,RO-A4-C00-SOCIAL-L050,49.300337798494354,48.34899494372824,70.85516119218377,50.97766435610591,54.87053957262807,54.168547749547415
RO-A4,Industrial machinery and equipment manufacturer,INTEGRATED,RO-A4-C00-INTEGRATED-L050,62.935929579905256,53.66665610131177,69.66938146429686,59.46466398134587,61.434157781714944,61.16120421716051
RO-A5,Food-processing company,BASE,RO-A5-C00-BASE-L000,49.35476671975309,48.018174357069114,63.838392546652905,51.558920511909996,53.192563533846275,52.84819108680162
RO-A5,Food-processing company,ENERGY,RO-A5-C00-ENERGY-L050,60.04801061207269,49.67483774218744,63.838392546652905,51.558920511909996,56.280040353205756,55.97643166222756
RO-A5,Food-processing company,MAINT,RO-A5-C00-MAINT-L050,50.962711253559334,51.72356951927249,64.52318569345682,52.44619055446918,54.913914255189454,54.6503176835685
RO-A5,Food-processing company,CIRCULAR,RO-A5-C00-CIRCULAR-L050,54.140213966750125,47.59669094831649,63.8396533803949,51.574931099109996,54.28787234864288,53.970504315952695
RO-A5,Food-processing company,DIGITAL,RO-A5-C00-DIGITAL-L050,50.02190274440791,50.19394880582385,63.9115305466529,61.77223840829931,56.474905126295994,56.11074460915888
RO-A5,Food-processing company,SOCIAL,RO-A5-C00-SOCIAL-L050,49.36578253449435,48.43707597486806,70.87235629685723,51.56692580550999,55.06053515293241,54.37046086879809
RO-A5,Food-processing company,INTEGRATED,RO-A5-C00-INTEGRATED-L050,62.678637817292326,53.712339052844214,69.6832593447156,59.90237337672138,61.49415239789338,61.22679484036055
RO-A6,Wood-products and furniture manufacturer,BASE,RO-A6-C00-BASE-L000,49.340564303086424,47.98325689208582,63.831874619856016,51.43571946395081,53.14785381974477,52.80184078032213
RO-A6,Wood-products and furniture manufacturer,ENERGY,RO-A6-C00-ENERGY-L050,60.34749377306297,49.639755316005186,63.831874619856016,51.43571946395081,56.313710793218746,56.0012630493116
RO-A6,Wood-products and furniture manufacturer,MAINT,RO-A6-C00-MAINT-L050,50.95120729605933,51.69490920148073,64.51695169805431,52.33180586888754,54.873718516120476,54.6085260192001
RO-A6,Wood-products and furniture manufacturer,CIRCULAR,RO-A6-C00-CIRCULAR-L050,54.12440383651679,47.56148812881046,63.833204477343024,51.452606543150814,54.24292574645527,53.923198765495975
RO-A6,Wood-products and furniture manufacturer,DIGITAL,RO-A6-C00-DIGITAL-L050,50.00770032774125,50.16635397884277,63.905592619856016,61.681588380748295,56.44030882679708,56.077153333876346
RO-A6,Wood-products and furniture manufacturer,SOCIAL,RO-A6-C00-SOCIAL-L050,49.35214821449435,48.40315915460734,70.86587288193286,51.44416300355081,55.016335813646336,54.32356388278541
RO-A6,Wood-products and furniture manufacturer,INTEGRATED,RO-A6-C00-INTEGRATED-L050,62.900600932354266,53.68672786057422,69.67746701817762,59.811183919351485,61.5189949326144,61.24901668585884
RO-A7,Rubber and plastics processor,BASE,RO-A7-C00-BASE-L000,49.34908575308642,48.10552222375464,63.85469748176754,51.50964009272632,53.204736387833734,52.86142337607052
RO-A7,Rubber and plastics processor,ENERGY,RO-A7-C00-ENERGY-L050,60.58240352153174,49.76171217285964,63.85469748176754,51.50964009272632,56.42711331722131,56.11523620729405
RO-A7,Rubber and plastics processor,MAINT,RO-A7-C00-MAINT-L050,50.95810967055934,51.81320698720435,64.5396042011292,52.400436680236524,54.92783938478235,54.66429440842391
RO-A7,Rubber and plastics processor,CIRCULAR,RO-A7-C00-CIRCULAR-L050,54.13388991465679,47.68210167202032,63.85598592500753,51.526001276726326,54.299494697102745,53.983764940867545
RO-A7,Rubber and plastics processor,DIGITAL,RO-A7-C00-DIGITAL-L050,50.01622177774125,50.28269162347284,63.92806748176753,61.735978397278906,56.49073982006513,56.12932605703486
RO-A7,Rubber and plastics processor,SOCIAL,RO-A7-C00-SOCIAL-L050,49.36032880649435,48.52469401028361,70.88867503672087,51.517820684726324,55.07287963455629,54.38370581303455
RO-A7,Rubber and plastics processor,INTEGRATED,RO-A7-C00-INTEGRATED-L050,63.07746887346955,53.79969866140233,69.69985451993378,59.86589759377341,61.61072991214477,61.34319157517227
RO-A8,Non-metallic mineral/construction-material producer,BASE,RO-A8-C00-BASE-L000,49.33204285308642,48.03155251310294,63.84088980244588,51.3617988351753,53.14157100095264,52.795720421488525
RO-A8,Non-metallic mineral/construction-material producer,ENERGY,RO-A8-C00-ENERGY-L050,59.476814343457505,49.73145676248915,63.84088980244588,51.3617988351753,56.10273993589196,55.80582197018024
RO-A8,Non-metallic mineral/construction-material producer,MAINT,RO-A8-C00-MAINT-L050,50.94430492155932,51.770681983414605,64.5261372394808,52.26317505753857,54.87607480049832,54.61070035920117
RO-A8,Non-metallic mineral/construction-material producer,CIRCULAR,RO-A8-C00-CIRCULAR-L050,54.11491775837679,47.80420164622783,63.84226107417988,51.379211809575295,54.28514807208995,53.972146741868315
RO-A8,Non-metallic mineral/construction-material producer,DIGITAL,RO-A8-C00-DIGITAL-L050,49.99917887774125,50.38295659074838,63.91495580244588,61.62719836421769,56.4810724087883,56.12487151175332
RO-A8,Non-metallic mineral/construction-material producer,SOCIAL,RO-A8-C00-SOCIAL-L050,49.343967622494354,48.466021296812116,70.87490877164622,51.3705053223753,55.013850753331994,54.32121142551975
RO-A8,Non-metallic mineral/construction-material producer,INTEGRATED,RO-A8-C00-INTEGRATED-L050,62.248291856144746,54.13775425237157,69.68691756092282,59.75647024492953,61.45735847859217,61.2055727753083
